N-gram: 3, Metric: jensen_shannon, #n words: 100, Accuracy: 1.0000, F1-Score: 1.0000
N-gram: 3, Metric: jensen_shannon, #n words: 100, Accuracy: 1.0000, F1-Score: 1.0000
N-gram: 1, Metric: jensen_shannon, #n words: 5, Accuracy: 0.7500, F1-Score: 0.8571
N-gram: 1, Metric: jensen_shannon, #n words: 100, Accuracy: 0.9993, F1-Score: 0.9996
N-gram: 1, Metric: jensen_shannon, #n words: 2, Accuracy: 0.5000, F1-Score: 0.6667
N-gram: 1, Metric: jensen_shannon, #n words: 2, Accuracy: 0.2000, F1-Score: 0.3333
N-gram: 1, Metric: jensen_shannon, #n words: 2, Accuracy: 0.2000, F1-Score: 0.3333
N-gram: 1, Metric: jensen_shannon, #n words: 2, Accuracy: 0.3902, F1-Score: 0.5613
N-gram: 3, Metric: jensen_shannon, #n words: 10, Accuracy: 0.9907, F1-Score: 0.9953
N-gram: 1, Metric: jensen_shannon, #n words: 10, Accuracy: 0.7527, F1-Score: 0.8589
N-gram: 1, Metric: jensen_shannon, #n words: 10, Accuracy: 0.8544, F1-Score: 0.8662
N-gram: 3, Metric: jensen_shannon, #n words: 15, Accuracy: 0.9926, F1-Score: 0.9926
